date, kilograms, pounds
2012-01-01, 87.3, 192.5
2012-01-02, 86.2, 190.0
2012-01-03, 85.0, 187.5
2012-01-04, 85.3, 188.0
2012-01-05, 84.6, 186.5
2012-01-06, 84.1, 185.5
2012-01-07, 83.5, 184.0
2012-01-08, 82.8, 182.5
2012-01-09, 83.9, 185.0
2012-01-10, 83.5, 184.0
2012-01-11, 83.2, 183.5
2012-01-12, 83.5, 184.0
2012-01-13, 83.0, 183.0
2012-01-14, 82.6, 182.0
2012-01-15, 83.7, 184.5
2012-01-16, 83.5, 184.0
2012-01-17, 82.6, 182.0
2012-01-18, 83.2, 183.5
2012-01-19, 83.0, 183.0
2012-01-20, 83.0, 183.0
2012-01-21, 83.0, 183.0
2012-01-22, 83.7, 184.5
2012-01-23, 83.9, 185.0
2012-01-24, 83.5, 184.0
2012-01-25, 83.2, 183.5
2012-01-26, 82.8, 182.5
2012-01-27, 82.8, 182.5
2012-01-28, 82.1, 181.0
2012-01-29, 83.0, 183.0
2012-01-30, 83.2, 183.5
2012-01-31, 82.3, 181.5
2012-02-01, 82.3, 181.5
2012-02-02, 81.6, 180.0
2012-02-03, 81.4, 179.5
2012-02-04, 81.9, 180.5
2012-02-05, 81.9, 180.5
2012-02-06, 82.1, 181.0
2012-02-07, 82.1, 181.0
2012-02-08, 81.4, 179.5
2012-02-09, 81.0, 178.5
2012-02-10, 80.7, 178.0
2012-02-11, 81.4, 179.5
2012-02-12, 81.9, 180.5
2012-02-13, 82.3, 181.5
2012-02-14, 81.2, 179.0
2012-02-15, 81.4, 179.5
2012-02-16, 81.0, 178.5
2012-02-17, 80.3, 177.0
2012-02-18, 79.8, 176.0
2012-02-19, 80.7, 178.0
2012-02-20, 81.2, 179.0
2012-02-21, 81.4, 179.5
2012-02-22, 80.5, 177.5
2012-02-23, 80.3, 177.0
2012-02-24, 80.5, 177.5
2012-02-25, 80.1, 176.5
2012-02-26, 81.2, 179.0
2012-02-27, 80.3, 177.0
2012-02-28, 79.4, 175.0
2012-02-29, 79.6, 175.5
2012-03-01, 79.8, 176.0
2012-03-02, 79.4, 175.0
2012-03-03, 79.8, 176.0
2012-03-04, 79.8, 176.0
2012-03-05, 80.5, 177.5
2012-03-06, 80.1, 176.5
2012-03-07, 79.6, 175.5
